name,type,address,barangay,latitude,longitude,contact,source,notes
The Crunch - Bay City Mall Batangas City,fast_food,"Bay City Mall, D. Silang Street, Batangas City",Barangay 14,13.75869,121.05731,,foodpanda + Mapcarta,mall centroid
Angel's Pizza - Citimart Commercial Complex,pizza,"Citimart Commercial Complex / Caedo Commercial Center, Batangas City",Calicanto,13.7645375,121.0560781,,foodpanda + Caedo center reference,commercial center centroid
Boneless Fried Chicken (Chow) - Batangas City,fast_food,"25 P. Panganiban, Batangas City",Barangay 5,13.7559375,121.0618125,,foodpanda_public,plus-code centroid
CUPS - Batangas City,cafe,"Second Floor EJ Building, Dona Concha Pastor Road, Batangas City",Kumintang Ilaya,13.7545625,121.0703125,,foodpanda_public,plus-code centroid
Bistro Marinero - M Pastor Avenue,cafe,"M. Pastor Avenue, Batangas City",Pallocan Silangan,13.7537125,121.0701406,,foodpanda_public,plus-code centroid
Hard Hat Cafe - Batangas,cafe,"Pastor Road, Batangas City",Pallocan Kanluran,13.7547125,121.0637344,,foodpanda_public,plus-code centroid
AnJ Pizza - Pallocan West,pizza,"M. Pastor Avenue, in front of Jose C. Pastor Memorial Elementary School, Batangas City",Pallocan Kanluran,13.7539625,121.0658594,,foodpanda_public,plus-code centroid
AA's Lomi - Balagtas Batangas City,restaurant,"National Road, Batangas City",Balagtas,13.7921875,121.0715625,,foodpanda_public,full plus-code centroid
Babsi - Sta. Rita Batangas City,restaurant,"Brgy. Sta. Rita Karsada, Batangas City",Sta. Rita Karsada,13.7780625,121.0409375,,foodpanda_public,plus-code centroid
Don Benito's - Sta Rita Batangas,dessert,"1405 LE National Road, Batangas City",Sta. Rita Karsada,13.7813125,121.0336875,,foodpanda_public,listing says Sta. Rita; polygon join recommended
